unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1725116400,2024-08-31 15:00:00,SOL/USD,136.2838,136.4410,135.9486,136.2877,315.08,42941.528516
1725112800,2024-08-31 14:00:00,SOL/USD,136.0569,136.3079,135.9498,135.9498,76.28,10370.250744
1725109200,2024-08-31 13:00:00,SOL/USD,136.6911,136.9090,135.8413,135.8413,146.27,19869.506951
1725105600,2024-08-31 12:00:00,SOL/USD,136.8517,137.1945,136.8385,137.0879,43.14,5913.972006
1725102000,2024-08-31 11:00:00,SOL/USD,137.0728,137.2015,136.9129,136.9672,118.33,16207.328775999998
1725098400,2024-08-31 10:00:00,SOL/USD,137.1566,137.4154,136.8998,136.8998,198.91,27230.739218
1725094800,2024-08-31 09:00:00,SOL/USD,135.8449,136.7244,135.8449,136.5528,357.51,48818.991528
1725091200,2024-08-31 08:00:00,SOL/USD,137.7467,137.7871,135.9584,135.9673,1623.75,220776.903375
1725087600,2024-08-31 07:00:00,SOL/USD,137.9097,138.1198,137.4653,137.5579,315.89,43453.165031
1725084000,2024-08-31 06:00:00,SOL/USD,137.4818,138.2168,137.4818,137.8919,184.54,25446.571225999996
1725080400,2024-08-31 05:00:00,SOL/USD,138.3792,138.4596,137.7448,137.7743,257.66,35498.92613800001
1725076800,2024-08-31 04:00:00,SOL/USD,138.1833,138.6514,138.1833,138.6514,44.21,6129.778394
1725073200,2024-08-31 03:00:00,SOL/USD,138.0451,138.6459,138.0451,138.3222,199.23,27557.931906
1725069600,2024-08-31 02:00:00,SOL/USD,137.8268,137.8908,137.4938,137.8908,86.77,11964.784716
1725066000,2024-08-31 01:00:00,SOL/USD,138.1725,138.1987,138.0799,138.1987,84.16,11630.802592
1725062400,2024-08-31 00:00:00,SOL/USD,137.9917,138.6697,137.9291,138.4825,347.21,48082.50882499999
1725058800,2024-08-30 23:00:00,SOL/USD,137.8379,138.3313,137.7045,138.0389,281.99,38925.58941100001
1725055200,2024-08-30 22:00:00,SOL/USD,136.6635,137.8350,136.6635,137.7198,236.32,32545.943135999998
1725051600,2024-08-30 21:00:00,SOL/USD,136.4200,136.7501,136.3653,136.3692,200.24,27306.568608
1725048000,2024-08-30 20:00:00,SOL/USD,136.5482,136.5482,135.8182,135.9234,248.07,33718.51783799999
1725044400,2024-08-30 19:00:00,SOL/USD,136.6773,136.8254,135.5739,135.8081,989.76,134417.425056
1725040800,2024-08-30 18:00:00,SOL/USD,134.7818,137.7125,134.7722,136.9718,3011.46,412485.09682800004
1725037200,2024-08-30 17:00:00,SOL/USD,133.8601,134.8450,133.5233,134.4492,1134.80,152572.95216
1725033600,2024-08-30 16:00:00,SOL/USD,133.2612,134.4901,132.0026,133.8602,3614.18,483794.857636
1725030000,2024-08-30 15:00:00,SOL/USD,135.6729,135.7899,132.7981,133.1484,3843.35,511735.90314
1725026400,2024-08-30 14:00:00,SOL/USD,139.7099,140.1443,135.6869,135.6869,1735.42,235473.75999800002
1725022800,2024-08-30 13:00:00,SOL/USD,139.7181,140.5000,137.9662,139.7099,4175.22,583319.568678
1725019200,2024-08-30 12:00:00,SOL/USD,138.5903,140.6036,138.5903,139.8523,850.88,118997.52502400002
1725015600,2024-08-30 11:00:00,SOL/USD,139.5034,139.5599,138.4632,138.6535,618.43,85747.48400499999
1725012000,2024-08-30 10:00:00,SOL/USD,139.5306,139.9414,139.2826,139.5605,364.40,50855.84619999999
1725008400,2024-08-30 09:00:00,SOL/USD,139.5917,139.9818,139.4913,139.9240,584.14,81735.20536
1725004800,2024-08-30 08:00:00,SOL/USD,139.1073,139.7637,139.0733,139.3200,505.07,70366.35239999999
1725001200,2024-08-30 07:00:00,SOL/USD,139.6432,139.8166,139.0096,139.1219,589.12,81959.493728
1724997600,2024-08-30 06:00:00,SOL/USD,138.1648,139.6261,137.4798,139.6261,1085.64,151583.67920400001
1724994000,2024-08-30 05:00:00,SOL/USD,138.8799,138.8894,137.4357,138.3074,2890.56,399785.838144
1724990400,2024-08-30 04:00:00,SOL/USD,138.8291,139.8656,138.8291,139.3359,1189.10,165684.31869
1724986800,2024-08-30 03:00:00,SOL/USD,138.6719,139.1851,138.5865,138.8297,377.12,52355.456464
1724983200,2024-08-30 02:00:00,SOL/USD,140.1039,140.1107,138.6006,139.4208,775.08,108062.27366400002
1724979600,2024-08-30 01:00:00,SOL/USD,140.3626,140.5789,139.7368,140.0492,659.96,92426.87003200002
1724976000,2024-08-30 00:00:00,SOL/USD,139.9213,141.0941,139.7663,140.5051,705.45,99119.322795
1724972400,2024-08-29 23:00:00,SOL/USD,140.1656,140.2964,139.6737,139.7705,226.47,31653.825135
1724968800,2024-08-29 22:00:00,SOL/USD,138.9605,139.9599,138.0304,139.7207,1480.91,206913.781837
1724965200,2024-08-29 21:00:00,SOL/USD,140.0335,140.1448,139.3343,139.3343,836.97,116618.62907100002
1724961600,2024-08-29 20:00:00,SOL/USD,140.5500,141.4046,139.2728,140.2605,4914.15,689261.1360749999
1724958000,2024-08-29 19:00:00,SOL/USD,139.7042,141.2169,138.6925,140.1421,1123.26,157416.015246
1724954400,2024-08-29 18:00:00,SOL/USD,144.2572,144.2572,139.4538,139.6197,5369.40,749674.01718
1724950800,2024-08-29 17:00:00,SOL/USD,144.0285,144.3778,143.8465,144.3778,406.48,58686.68814400001
1724947200,2024-08-29 16:00:00,SOL/USD,146.1008,146.5613,143.7781,144.1776,3186.74,459456.52502400003
1724943600,2024-08-29 15:00:00,SOL/USD,145.3692,147.2555,145.3692,146.7943,378.81,55607.148783
1724940000,2024-08-29 14:00:00,SOL/USD,145.5940,145.8222,144.8779,145.3684,561.53,81628.717652
1724936400,2024-08-29 13:00:00,SOL/USD,145.4643,145.7067,144.8211,144.9408,273.30,39612.32064
1724932800,2024-08-29 12:00:00,SOL/USD,145.7000,145.7997,145.3120,145.5801,265.03,38583.09390299999
1724929200,2024-08-29 11:00:00,SOL/USD,145.1996,146.7971,145.1996,146.0652,718.56,104956.610112
1724925600,2024-08-29 10:00:00,SOL/USD,145.2968,145.7577,145.0415,145.1819,656.12,95256.74822800001
1724922000,2024-08-29 09:00:00,SOL/USD,145.0199,145.7957,144.9824,145.3088,508.27,73856.10377599999
1724918400,2024-08-29 08:00:00,SOL/USD,144.8142,145.1449,144.4910,144.9047,641.63,92975.20266099999
1724914800,2024-08-29 07:00:00,SOL/USD,144.8901,144.9632,144.6798,144.7792,338.83,49055.536336
1724911200,2024-08-29 06:00:00,SOL/USD,144.2615,145.2592,144.1452,144.7554,341.81,49478.843274000006
1724907600,2024-08-29 05:00:00,SOL/USD,143.3430,144.3155,143.3430,144.2376,90.13,13000.134887999999
1724904000,2024-08-29 04:00:00,SOL/USD,143.7640,143.7640,143.5621,143.5621,7.44,1068.102024
1724900400,2024-08-29 03:00:00,SOL/USD,144.0520,144.1408,143.2667,143.2667,30.75,4405.451024999999
1724896800,2024-08-29 02:00:00,SOL/USD,143.3496,143.7004,143.3496,143.7004,96.82,13913.072728
1724893200,2024-08-29 01:00:00,SOL/USD,144.3076,144.7626,143.3501,143.4964,152.12,21828.672368
1724889600,2024-08-29 00:00:00,SOL/USD,144.7624,144.7624,143.9291,144.2289,254.53,36710.581917
1724886000,2024-08-28 23:00:00,SOL/USD,143.3742,144.2774,143.2695,143.9632,733.15,105546.62008
1724882400,2024-08-28 22:00:00,SOL/USD,143.0000,143.4896,141.8269,143.4896,2239.03,321277.519088
1724878800,2024-08-28 21:00:00,SOL/USD,143.6863,144.6223,142.9795,142.9795,426.85,61030.799575000005
1724875200,2024-08-28 20:00:00,SOL/USD,144.3250,146.3033,143.2470,144.4255,944.30,136380.99964999998
1724871600,2024-08-28 19:00:00,SOL/USD,144.8615,145.5710,143.9341,145.1095,1379.63,200197.41948500002
1724868000,2024-08-28 18:00:00,SOL/USD,141.9719,144.3347,141.9719,144.3347,838.71,121054.956237
1724864400,2024-08-28 17:00:00,SOL/USD,142.9089,143.3019,141.7415,142.2705,938.36,133500.94638
1724860800,2024-08-28 16:00:00,SOL/USD,144.1275,144.1275,140.6026,143.0216,4725.12,675794.222592
1724857200,2024-08-28 15:00:00,SOL/USD,144.5258,144.6689,143.3060,144.2919,8503.16,1226937.112404
1724853600,2024-08-28 14:00:00,SOL/USD,145.1313,146.7164,144.0590,145.0653,6288.29,912212.675337
1724850000,2024-08-28 13:00:00,SOL/USD,147.7046,147.7046,145.7777,145.7777,588.78,85830.994206
1724846400,2024-08-28 12:00:00,SOL/USD,147.0993,148.3888,147.0800,147.9124,324.16,47947.283584000004
1724842800,2024-08-28 11:00:00,SOL/USD,146.7371,147.6922,146.6986,147.2267,1174.58,172929.53728599998
1724839200,2024-08-28 10:00:00,SOL/USD,147.4361,147.4811,146.7294,146.7680,1127.99,165552.83632
1724835600,2024-08-28 09:00:00,SOL/USD,145.2601,147.9794,144.9362,147.9794,1024.90,151664.08706000002
1724832000,2024-08-28 08:00:00,SOL/USD,143.9998,145.7817,143.0000,145.1711,655.58,95171.269738
1724828400,2024-08-28 07:00:00,SOL/USD,147.2854,147.3935,144.0000,144.0396,4539.26,653833.1946960001
1724824800,2024-08-28 06:00:00,SOL/USD,147.2241,147.5227,147.0029,147.1846,797.41,117366.47188599998
1724821200,2024-08-28 05:00:00,SOL/USD,147.3228,148.8805,147.2473,147.4304,1293.96,190769.040384
1724817600,2024-08-28 04:00:00,SOL/USD,147.8599,148.1990,147.6849,147.7379,423.51,62568.478029
1724814000,2024-08-28 03:00:00,SOL/USD,146.7958,148.2722,146.7171,148.2722,250.12,37085.842664
1724810400,2024-08-28 02:00:00,SOL/USD,146.8083,146.8083,145.8753,146.6398,908.98,133292.645404
1724806800,2024-08-28 01:00:00,SOL/USD,146.1902,146.9187,145.8377,146.9187,591.60,86917.10292
1724803200,2024-08-28 00:00:00,SOL/USD,146.6387,146.8208,145.6736,146.1220,1263.47,184620.76334000003
1724799600,2024-08-27 23:00:00,SOL/USD,147.1390,147.8298,146.7716,146.9360,708.25,104067.422
1724796000,2024-08-27 22:00:00,SOL/USD,149.5896,149.5896,144.8898,147.5467,5514.42,813634.4734139999
1724792400,2024-08-27 21:00:00,SOL/USD,153.8749,153.8749,147.5402,149.1268,2355.13,351213.000484
1724788800,2024-08-27 20:00:00,SOL/USD,154.9656,154.9736,154.0111,154.0111,238.49,36730.107239000004
1724785200,2024-08-27 19:00:00,SOL/USD,155.3530,155.3530,154.5068,154.6057,128.83,19917.852331000002
1724781600,2024-08-27 18:00:00,SOL/USD,154.4132,155.4755,154.4132,155.4704,654.56,101764.705024
1724778000,2024-08-27 17:00:00,SOL/USD,153.6896,154.7054,153.6197,154.7054,103.09,15948.579686000001
1724774400,2024-08-27 16:00:00,SOL/USD,153.4897,154.9298,153.2800,154.4675,206.20,31851.1985
1724770800,2024-08-27 15:00:00,SOL/USD,153.7560,154.7452,153.2787,153.7878,1453.79,223575.165762
1724767200,2024-08-27 14:00:00,SOL/USD,154.1771,155.7500,153.6652,153.7726,5645.29,868090.921054
1724763600,2024-08-27 13:00:00,SOL/USD,154.0736,155.2500,153.7120,154.1781,3674.93,566593.725033
1724760000,2024-08-27 12:00:00,SOL/USD,153.9287,154.3386,152.7933,154.2833,480.96,74204.095968
1724756400,2024-08-27 11:00:00,SOL/USD,153.5852,154.7968,153.3459,154.1459,1312.66,202341.15709400002
1724752800,2024-08-27 10:00:00,SOL/USD,156.4936,156.4936,153.4625,153.8337,2469.26,379855.402062
1724749200,2024-08-27 09:00:00,SOL/USD,156.7091,157.6146,156.2225,156.4343,834.08,130478.72094400002
1724745600,2024-08-27 08:00:00,SOL/USD,157.5683,157.5747,156.7165,157.0409,455.59,71546.263631
1724742000,2024-08-27 07:00:00,SOL/USD,158.1865,158.2608,157.3800,157.5809,345.14,54387.471826
1724738400,2024-08-27 06:00:00,SOL/USD,159.0793,159.1600,157.7573,158.1201,308.05,48708.896805000004
1724734800,2024-08-27 05:00:00,SOL/USD,158.6267,159.6848,158.6267,159.2287,195.82,31180.164034
1724731200,2024-08-27 04:00:00,SOL/USD,158.6081,158.8770,158.2888,158.6023,55.11,8740.572753
1724727600,2024-08-27 03:00:00,SOL/USD,158.0970,158.1157,157.6274,158.1157,104.74,16561.038418
1724724000,2024-08-27 02:00:00,SOL/USD,158.1580,159.0133,158.1580,158.4699,116.96,18534.639504
1724720400,2024-08-27 01:00:00,SOL/USD,158.2949,158.9000,158.0277,158.0317,286.48,45272.921416000005
1724716800,2024-08-27 00:00:00,SOL/USD,157.0811,158.1001,157.0811,157.5007,401.80,63283.781259999996
1724713200,2024-08-26 23:00:00,SOL/USD,157.4371,158.2202,156.8001,157.1454,448.49,70478.140446
1724709600,2024-08-26 22:00:00,SOL/USD,158.2400,158.2525,157.1294,157.5922,394.31,62140.180382
1724706000,2024-08-26 21:00:00,SOL/USD,158.4959,158.4959,156.4747,157.7482,805.31,127036.20294199999
1724702400,2024-08-26 20:00:00,SOL/USD,158.1200,159.2189,157.5200,158.8189,443.88,70496.533332
1724698800,2024-08-26 19:00:00,SOL/USD,158.5700,158.5700,157.6900,157.7385,582.48,91879.52148
1724695200,2024-08-26 18:00:00,SOL/USD,157.3300,159.3251,156.7949,159.1048,1341.61,213456.590728
1724691600,2024-08-26 17:00:00,SOL/USD,157.7652,157.8732,155.6767,157.3590,1243.87,195734.13933
1724688000,2024-08-26 16:00:00,SOL/USD,157.5700,158.3500,157.0900,157.8853,355.68,56156.643504
1724684400,2024-08-26 15:00:00,SOL/USD,157.1874,158.2408,156.3500,157.7600,505.18,79697.19679999999
1724680800,2024-08-26 14:00:00,SOL/USD,160.6645,161.6400,156.0161,157.1800,2025.43,318357.0874
1724677200,2024-08-26 13:00:00,SOL/USD,159.1717,160.4602,159.1645,159.6421,453.49,72396.095929
1724673600,2024-08-26 12:00:00,SOL/USD,160.5167,161.1800,158.8833,159.4818,514.54,82059.765372
1724670000,2024-08-26 11:00:00,SOL/USD,161.4395,161.9276,160.2585,160.3907,521.49,83642.146143
1724666400,2024-08-26 10:00:00,SOL/USD,160.7993,161.9062,160.7993,161.4868,752.75,121559.18869999998
1724662800,2024-08-26 09:00:00,SOL/USD,159.6400,160.5435,158.4095,160.5435,605.44,97199.45664
1724659200,2024-08-26 08:00:00,SOL/USD,159.4698,160.7148,159.4698,159.7672,639.82,102222.24990400001
1724655600,2024-08-26 07:00:00,SOL/USD,158.9100,159.4344,158.4800,159.3059,36.81,5864.050179000001
1724652000,2024-08-26 06:00:00,SOL/USD,159.6993,159.6993,158.7123,159.3251,534.64,85181.571464
1724648400,2024-08-26 05:00:00,SOL/USD,160.6923,160.7616,159.5000,159.6100,191.53,30570.103300000002
1724644800,2024-08-26 04:00:00,SOL/USD,160.4100,160.9151,159.9589,160.7569,429.18,68993.64634200001
1724641200,2024-08-26 03:00:00,SOL/USD,158.5994,160.1700,158.4647,160.1700,8424.22,1349307.3173999998
1724637600,2024-08-26 02:00:00,SOL/USD,158.3227,158.4778,157.5600,158.4748,274.23,43458.544404
1724634000,2024-08-26 01:00:00,SOL/USD,158.9307,159.2551,158.2222,158.2344,90.28,14285.401632
1724630400,2024-08-26 00:00:00,SOL/USD,159.7000,159.8400,158.3781,158.7800,103.11,16371.8058
1724626800,2024-08-25 23:00:00,SOL/USD,160.7800,161.2200,158.5756,158.7878,813.67,129200.869226
1724623200,2024-08-25 22:00:00,SOL/USD,161.4445,162.0000,160.3000,160.7098,970.97,156044.394506
1724619600,2024-08-25 21:00:00,SOL/USD,159.1144,161.2926,158.9857,160.9930,574.91,92556.48563
1724616000,2024-08-25 20:00:00,SOL/USD,159.0714,159.4873,158.6675,159.1800,429.03,68292.9954
1724612400,2024-08-25 19:00:00,SOL/USD,159.7688,159.8205,159.0745,159.1815,125.18,19926.34017
1724608800,2024-08-25 18:00:00,SOL/USD,159.5834,159.9609,159.0200,159.4500,1196.64,190804.248
1724605200,2024-08-25 17:00:00,SOL/USD,159.1221,159.6600,158.8988,159.5684,1035.56,165242.652304
1724601600,2024-08-25 16:00:00,SOL/USD,159.3812,160.3587,158.5877,158.9277,877.49,139457.467473
1724598000,2024-08-25 15:00:00,SOL/USD,159.0900,159.8970,158.7514,159.3045,633.53,100924.17988499999
1724594400,2024-08-25 14:00:00,SOL/USD,158.8765,159.7879,158.8765,159.2348,294.83,46947.196084
1724590800,2024-08-25 13:00:00,SOL/USD,158.0300,159.0782,158.0287,158.6694,525.15,83325.23541
1724587200,2024-08-25 12:00:00,SOL/USD,157.3500,157.8740,157.1000,157.8331,222.67,35144.696377
1724583600,2024-08-25 11:00:00,SOL/USD,156.9300,158.1490,156.9300,157.8161,1377.79,217437.444419
1724580000,2024-08-25 10:00:00,SOL/USD,157.3622,157.4726,156.4640,156.7627,475.66,74565.745882
1724576400,2024-08-25 09:00:00,SOL/USD,157.2740,157.9533,156.8800,157.4292,710.26,111815.66359200001
1724572800,2024-08-25 08:00:00,SOL/USD,156.2035,157.3389,155.9964,157.3389,457.18,71932.198302
1724569200,2024-08-25 07:00:00,SOL/USD,157.5935,157.7044,155.3262,156.0677,2837.53,442846.78078100004
1724565600,2024-08-25 06:00:00,SOL/USD,158.4000,158.4650,157.6163,158.0255,550.14,86936.14856999999
1724562000,2024-08-25 05:00:00,SOL/USD,158.6364,158.9895,158.2994,158.3775,288.29,45658.649475000006
1724558400,2024-08-25 04:00:00,SOL/USD,158.2900,158.6000,157.8363,158.6000,122.71,19461.805999999997
1724554800,2024-08-25 03:00:00,SOL/USD,158.6146,158.6528,157.5777,157.8587,647.72,102248.237164
1724551200,2024-08-25 02:00:00,SOL/USD,158.3273,159.0126,158.3273,159.0126,52.87,8406.996162
1724547600,2024-08-25 01:00:00,SOL/USD,159.0400,159.7606,157.5099,158.5400,274.22,43474.838800000005
