unix,date,symbol,open,high,low,close,Volume XRP,Volume RLUSD
1749682800,2025-06-11 23:00:00,XRP/RLUSD,2.26555,2.27025,2.26555,2.27025,988.02,2243.052405
1749679200,2025-06-11 22:00:00,XRP/RLUSD,2.26282,2.26840,2.25413,2.25980,7458.79,16855.373642
1749675600,2025-06-11 21:00:00,XRP/RLUSD,2.29594,2.29910,2.28072,2.28072,3542.58,8079.6330576
1749672000,2025-06-11 20:00:00,XRP/RLUSD,2.28654,2.29640,2.28128,2.29548,6373.68,14630.654966400001
1749668400,2025-06-11 19:00:00,XRP/RLUSD,2.29684,2.29723,2.28594,2.28594,3846.57,8793.0282258
1749664800,2025-06-11 18:00:00,XRP/RLUSD,2.29618,2.30414,2.29618,2.30414,2057.82,4741.5053748
1749661200,2025-06-11 17:00:00,XRP/RLUSD,2.31771,2.31771,2.31771,2.31771,28.61,66.3096831
1749657600,2025-06-11 16:00:00,XRP/RLUSD,2.32460,2.32460,2.32460,2.32460,456.04,1060.1105840000002
1749654000,2025-06-11 15:00:00,XRP/RLUSD,2.32100,2.32100,2.32066,2.32066,624.20,1448.555972
1749650400,2025-06-11 14:00:00,XRP/RLUSD,2.33085,2.33292,2.32577,2.33292,1594.75,3720.4241700000002
1749646800,2025-06-11 13:00:00,XRP/RLUSD,2.31690,2.31690,2.31690,2.31690,476.83,1104.767427
1749643200,2025-06-11 12:00:00,XRP/RLUSD,2.32641,2.32641,2.32097,2.32097,2359.44,5476.1894568
1749639600,2025-06-11 11:00:00,XRP/RLUSD,2.31981,2.31981,2.31981,2.31981,0.00,0.0
1749636000,2025-06-11 10:00:00,XRP/RLUSD,2.30811,2.31981,2.30811,2.31981,45.52,105.5977512
1749632400,2025-06-11 09:00:00,XRP/RLUSD,2.32261,2.32261,2.30612,2.30612,6752.08,15571.1067296
1749628800,2025-06-11 08:00:00,XRP/RLUSD,2.30973,2.32633,2.30973,2.32540,12777.44,29712.658976000002
1749625200,2025-06-11 07:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749621600,2025-06-11 06:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749618000,2025-06-11 05:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749614400,2025-06-11 04:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749610800,2025-06-11 03:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749607200,2025-06-11 02:00:00,XRP/RLUSD,2.28354,2.28354,2.28354,2.28354,0.00,0.0
1749603600,2025-06-11 01:00:00,XRP/RLUSD,2.28613,2.28613,2.28354,2.28354,2885.91,6590.090921399999
1749600000,2025-06-11 00:00:00,XRP/RLUSD,2.29565,2.29565,2.29565,2.29565,25.47,58.4702055
1749596400,2025-06-10 23:00:00,XRP/RLUSD,2.30639,2.30639,2.30639,2.30639,25.35,58.466986500000004
1749592800,2025-06-10 22:00:00,XRP/RLUSD,2.30799,2.31229,2.30799,2.31229,455.43,1053.0862347
1749589200,2025-06-10 21:00:00,XRP/RLUSD,2.29964,2.29964,2.29403,2.29774,3371.94,7747.841415600001
1749585600,2025-06-10 20:00:00,XRP/RLUSD,2.28878,2.28878,2.28878,2.28878,34.96,80.0157488
1749582000,2025-06-10 19:00:00,XRP/RLUSD,2.29839,2.29839,2.29307,2.29307,1715.22,3933.1195254000004
1749578400,2025-06-10 18:00:00,XRP/RLUSD,2.28047,2.28047,2.28047,2.28047,0.00,0.0
1749574800,2025-06-10 17:00:00,XRP/RLUSD,2.27132,2.28047,2.27132,2.28047,897.21,2046.0604887000002
1749571200,2025-06-10 16:00:00,XRP/RLUSD,2.27739,2.27739,2.27739,2.27739,0.00,0.0
1749567600,2025-06-10 15:00:00,XRP/RLUSD,2.26290,2.27739,2.26290,2.27739,2721.10,6197.005929
1749564000,2025-06-10 14:00:00,XRP/RLUSD,2.30605,2.30605,2.30605,2.30605,0.00,0.0
1749560400,2025-06-10 13:00:00,XRP/RLUSD,2.30605,2.30605,2.30605,2.30605,0.00,0.0
1749556800,2025-06-10 12:00:00,XRP/RLUSD,2.30605,2.30605,2.30605,2.30605,9.79,22.576229499999997
1749553200,2025-06-10 11:00:00,XRP/RLUSD,2.30653,2.30653,2.30653,2.30653,9.79,22.580928699999998
1749549600,2025-06-10 10:00:00,XRP/RLUSD,2.29267,2.29267,2.28776,2.29148,111383.59,255233.26881319997
1749546000,2025-06-10 09:00:00,XRP/RLUSD,2.29157,2.29171,2.29157,2.29171,9253.40,21206.109314
1749542400,2025-06-10 08:00:00,XRP/RLUSD,2.28122,2.28122,2.28122,2.28122,454.02,1035.7195043999998
1749538800,2025-06-10 07:00:00,XRP/RLUSD,2.28800,2.28800,2.28800,2.28800,0.00,0.0
1749535200,2025-06-10 06:00:00,XRP/RLUSD,2.28712,2.28801,2.28712,2.28800,9105.93,20834.36784
1749531600,2025-06-10 05:00:00,XRP/RLUSD,2.31637,2.31637,2.31637,2.31637,0.00,0.0
1749528000,2025-06-10 04:00:00,XRP/RLUSD,2.31637,2.31637,2.31637,2.31637,0.00,0.0
1749524400,2025-06-10 03:00:00,XRP/RLUSD,2.31637,2.31637,2.31637,2.31637,0.00,0.0
1749520800,2025-06-10 02:00:00,XRP/RLUSD,2.31637,2.31637,2.31637,2.31637,0.00,0.0
1749517200,2025-06-10 01:00:00,XRP/RLUSD,2.31637,2.31637,2.31637,2.31637,0.00,0.0
1749513600,2025-06-10 00:00:00,XRP/RLUSD,2.31553,2.32714,2.31553,2.31637,2507.34,5807.9271558
1749510000,2025-06-09 23:00:00,XRP/RLUSD,2.31766,2.31766,2.31766,2.31766,829.74,1923.0552084
1749506400,2025-06-09 22:00:00,XRP/RLUSD,2.32798,2.32798,2.31993,2.32200,37.65,87.4233
1749502800,2025-06-09 21:00:00,XRP/RLUSD,2.31482,2.31578,2.31482,2.31578,1688.89,3911.0976842000005
1749499200,2025-06-09 20:00:00,XRP/RLUSD,2.30184,2.30184,2.30184,2.30184,3161.55,7277.382252
1749495600,2025-06-09 19:00:00,XRP/RLUSD,2.29705,2.29705,2.29705,2.29705,627.18,1440.6638189999999
1749492000,2025-06-09 18:00:00,XRP/RLUSD,2.29213,2.29602,2.29213,2.29602,8561.69,19657.8114738
1749488400,2025-06-09 17:00:00,XRP/RLUSD,2.30924,2.30924,2.29179,2.29227,8684.36,19906.8978972
1749484800,2025-06-09 16:00:00,XRP/RLUSD,2.27514,2.28096,2.27514,2.28096,31.09,70.9150464
1749481200,2025-06-09 15:00:00,XRP/RLUSD,2.25478,2.26618,2.25478,2.26618,6889.66,15613.2096988
1749477600,2025-06-09 14:00:00,XRP/RLUSD,2.25910,2.26121,2.25910,2.26121,13027.98,29458.998655800002
1749474000,2025-06-09 13:00:00,XRP/RLUSD,2.25821,2.25821,2.25821,2.25821,28128.81,63520.760030100006
1749470400,2025-06-09 12:00:00,XRP/RLUSD,2.26224,2.26224,2.26224,2.26224,459.64,1039.8159936
1749466800,2025-06-09 11:00:00,XRP/RLUSD,2.25972,2.25972,2.25972,2.25972,6625.86,14972.588359200001
1749463200,2025-06-09 10:00:00,XRP/RLUSD,2.26402,2.26541,2.26362,2.26541,2718.26,6157.973386600001
