unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1749614400,2025-06-11 04:00:00,ADA/USD,0.71958,0.72168,0.71875,0.71949,70759.24941522,50910.57236175663
1749610800,2025-06-11 03:00:00,ADA/USD,0.71155,0.72153,0.71155,0.71986,110322.60470266,79416.83022125684
1749607200,2025-06-11 02:00:00,ADA/USD,0.71197,0.71584,0.71039,0.71177,73159.04644776,52072.41449012214
1749603600,2025-06-11 01:00:00,ADA/USD,0.71250,0.71384,0.70950,0.71057,59982.12692577,42621.499929644386
1749600000,2025-06-11 00:00:00,ADA/USD,0.71606,0.72044,0.71158,0.71161,116601.85981574,82975.04946347873
1749596400,2025-06-10 23:00:00,ADA/USD,0.71696,0.71756,0.71451,0.71638,82941.21613021,59417.42841135984
1749592800,2025-06-10 22:00:00,ADA/USD,0.71253,0.72024,0.71198,0.71446,69996.87746131,50009.96907100754
1749589200,2025-06-10 21:00:00,ADA/USD,0.71057,0.71215,0.70537,0.70839,62694.83776765,44412.39612622558
1749585600,2025-06-10 20:00:00,ADA/USD,0.70822,0.70934,0.70483,0.70748,85668.87515254,60609.015792919
1749582000,2025-06-10 19:00:00,ADA/USD,0.70759,0.71523,0.70637,0.70881,233358.43880977,165406.7950127531
1749578400,2025-06-10 18:00:00,ADA/USD,0.70131,0.70891,0.69986,0.70795,103445.09140625,73233.95246105468
1749574800,2025-06-10 17:00:00,ADA/USD,0.69689,0.70416,0.69673,0.70175,115254.80345000,80880.0583210375
1749571200,2025-06-10 16:00:00,ADA/USD,0.69736,0.70071,0.69685,0.69685,26371.41708823,18376.921997933074
1749567600,2025-06-10 15:00:00,ADA/USD,0.69266,0.69905,0.68831,0.69670,145044.10129971,101052.22537550794
1749564000,2025-06-10 14:00:00,ADA/USD,0.70160,0.70160,0.69224,0.69373,28457.32592822,19741.70071618406
1749560400,2025-06-10 13:00:00,ADA/USD,0.71217,0.71217,0.69541,0.70048,107328.68308822,75181.59592963634
1749556800,2025-06-10 12:00:00,ADA/USD,0.70535,0.71230,0.70220,0.71230,87483.76214850,62314.68377837655
1749553200,2025-06-10 11:00:00,ADA/USD,0.69006,0.70724,0.68752,0.70497,142185.87939661,100236.77939822814
1749549600,2025-06-10 10:00:00,ADA/USD,0.69557,0.69557,0.68822,0.68995,660692.18108065,455844.5703365944
1749546000,2025-06-10 09:00:00,ADA/USD,0.69034,0.69586,0.68880,0.69336,192562.90144080,133515.41334299307
1749542400,2025-06-10 08:00:00,ADA/USD,0.69625,0.69632,0.69020,0.69020,44469.85985282,30693.097270416365
1749538800,2025-06-10 07:00:00,ADA/USD,0.69830,0.70030,0.69602,0.69604,71464.78084114,49742.34605666709
1749535200,2025-06-10 06:00:00,ADA/USD,0.69530,0.70055,0.69362,0.69941,124116.72278672,86808.47708425984
1749531600,2025-06-10 05:00:00,ADA/USD,0.70410,0.70657,0.69706,0.69777,47175.62473995,32917.73567479491
1749528000,2025-06-10 04:00:00,ADA/USD,0.70602,0.70653,0.70310,0.70488,111764.29409506,78780.41562172589
1749524400,2025-06-10 03:00:00,ADA/USD,0.70956,0.70956,0.70590,0.70748,111631.16616148,78976.81743592386
1749520800,2025-06-10 02:00:00,ADA/USD,0.71285,0.71336,0.70849,0.71279,41572.75856100,29632.646574695194
1749517200,2025-06-10 01:00:00,ADA/USD,0.71367,0.71531,0.70969,0.71248,102225.39874762,72833.55209970429
1749513600,2025-06-10 00:00:00,ADA/USD,0.70563,0.71450,0.70551,0.71402,111970.96832997,79949.51080696518
1749510000,2025-06-09 23:00:00,ADA/USD,0.70739,0.70739,0.70301,0.70580,51149.09320480,36101.02998394784
1749506400,2025-06-09 22:00:00,ADA/USD,0.70039,0.70770,0.69957,0.70770,151466.48856250,107192.83395568124
1749502800,2025-06-09 21:00:00,ADA/USD,0.68854,0.69962,0.68854,0.69652,174856.24507255,121790.87181793252
1749499200,2025-06-09 20:00:00,ADA/USD,0.68437,0.68772,0.68340,0.68689,96101.79274288,66011.36041715684
1749495600,2025-06-09 19:00:00,ADA/USD,0.68375,0.68484,0.68013,0.68191,46932.59363853,32003.804928049994
1749492000,2025-06-09 18:00:00,ADA/USD,0.68287,0.68575,0.68162,0.68376,55265.82422920,37788.559974957796
1749488400,2025-06-09 17:00:00,ADA/USD,0.68089,0.68671,0.68089,0.68306,105696.41333384,72196.99209181275
1749484800,2025-06-09 16:00:00,ADA/USD,0.67510,0.68290,0.67510,0.68005,102952.97826301,70013.17286775995
1749481200,2025-06-09 15:00:00,ADA/USD,0.67249,0.67544,0.67249,0.67513,61552.66169073,41556.048487262546
1749477600,2025-06-09 14:00:00,ADA/USD,0.66666,0.67258,0.66652,0.66906,53970.12847111,36109.25415488086
