unix,date,symbol,open,high,low,close,Volume MATIC,Volume EUR
1683356400,2023-05-06 07:00:00,MATIC/EUR,0.89384,0.89417,0.89384,0.89417,127.87752022,114.3442422551174
1683352800,2023-05-06 06:00:00,MATIC/EUR,0.89300,0.89326,0.89230,0.89326,327.74542298,292.7618765311148
1683349200,2023-05-06 05:00:00,MATIC/EUR,0.89321,0.89321,0.89321,0.89321,100.00000000,89.321
1683345600,2023-05-06 04:00:00,MATIC/EUR,0.89668,0.89668,0.89668,0.89668,0.00000000,0.0
1683342000,2023-05-06 03:00:00,MATIC/EUR,0.89702,0.89822,0.89668,0.89668,1221.53973146,1095.3302464055528
1683338400,2023-05-06 02:00:00,MATIC/EUR,0.89825,0.89825,0.89825,0.89825,55.66379070,49.999999996275
1683334800,2023-05-06 01:00:00,MATIC/EUR,0.90000,0.90000,0.90000,0.90000,235.56111111,212.004999999
1683331200,2023-05-06 00:00:00,MATIC/EUR,0.90452,0.91154,0.90452,0.91154,2437.72052131,2222.0797639949174
1683327600,2023-05-05 23:00:00,MATIC/EUR,0.90808,0.90808,0.90543,0.90543,4472.34606793,4049.3963002858595
1683324000,2023-05-05 22:00:00,MATIC/EUR,0.90810,0.90810,0.90810,0.90810,500.00000000,454.05
1683320400,2023-05-05 21:00:00,MATIC/EUR,0.90672,0.90672,0.90672,0.90672,80.21157527,72.7294395288144
1683316800,2023-05-05 20:00:00,MATIC/EUR,0.90874,0.90874,0.90810,0.90810,54.38057984,49.383004552704
1683313200,2023-05-05 19:00:00,MATIC/EUR,0.90726,0.90726,0.90726,0.90726,22.26923505,20.203986191463
1683309600,2023-05-05 18:00:00,MATIC/EUR,0.91164,0.91164,0.90713,0.90713,635.03375037,576.0581659731381
1683306000,2023-05-05 17:00:00,MATIC/EUR,0.90947,0.90947,0.90947,0.90947,0.00000000,0.0
1683302400,2023-05-05 16:00:00,MATIC/EUR,0.91451,0.91451,0.90947,0.90947,7161.43535232,6513.11060987447
1683298800,2023-05-05 15:00:00,MATIC/EUR,0.90400,0.90706,0.90400,0.90418,496.27087718,448.7182017286124
1683295200,2023-05-05 14:00:00,MATIC/EUR,0.90859,0.90859,0.90559,0.90612,9936.90067482,9004.0244394679
1683291600,2023-05-05 13:00:00,MATIC/EUR,0.89886,0.89886,0.89886,0.89886,0.00000000,0.0
1683288000,2023-05-05 12:00:00,MATIC/EUR,0.90080,0.90271,0.88647,0.89886,20320.43071744,18265.222354678117
1683284400,2023-05-05 11:00:00,MATIC/EUR,0.89810,0.90104,0.89753,0.90104,400.98395917,361.3025865705368
1683280800,2023-05-05 10:00:00,MATIC/EUR,0.89518,0.89518,0.89518,0.89518,125.64351093,112.4735581143174
1683277200,2023-05-05 09:00:00,MATIC/EUR,0.89502,0.89647,0.89376,0.89376,1975.40013209,1765.5336220567583
1683273600,2023-05-05 08:00:00,MATIC/EUR,0.89757,0.89757,0.89757,0.89757,701.69459545,629.8200180380564
