unix,date,symbol,open,high,low,close,Volume VEXT,Volume USD
1711814400,2024-03-30 16:00:00,VEXT/USD,0.1241,0.1241,0.1226,0.1238,25549.084,3162.9765992
1711810800,2024-03-30 15:00:00,VEXT/USD,0.1241,0.1241,0.1241,0.1241,0.000,0.0
1711807200,2024-03-30 14:00:00,VEXT/USD,0.1242,0.1242,0.1241,0.1241,473.212,58.7256092
1711803600,2024-03-30 13:00:00,VEXT/USD,0.1243,0.1243,0.1241,0.1241,660.012,81.9074892
1711800000,2024-03-30 12:00:00,VEXT/USD,0.1245,0.1245,0.1245,0.1245,1107.784,137.91910800000002
1711796400,2024-03-30 11:00:00,VEXT/USD,0.1244,0.1244,0.1244,0.1244,1079.693,134.3138092
1711792800,2024-03-30 10:00:00,VEXT/USD,0.1248,0.1248,0.1248,0.1248,0.000,0.0
1711789200,2024-03-30 09:00:00,VEXT/USD,0.1248,0.1248,0.1248,0.1248,0.000,0.0
1711785600,2024-03-30 08:00:00,VEXT/USD,0.1254,0.1254,0.1243,0.1248,17559.180,2191.385664
1711782000,2024-03-30 07:00:00,VEXT/USD,0.1255,0.1255,0.1255,0.1255,581.120,72.93056
1711778400,2024-03-30 06:00:00,VEXT/USD,0.1253,0.1253,0.1253,0.1253,0.000,0.0
1711774800,2024-03-30 05:00:00,VEXT/USD,0.1253,0.1253,0.1253,0.1253,2723.929,341.3083037
1711771200,2024-03-30 04:00:00,VEXT/USD,0.1254,0.1254,0.1254,0.1254,4359.091,546.6300114000001
1711767600,2024-03-30 03:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711764000,2024-03-30 02:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711760400,2024-03-30 01:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711756800,2024-03-30 00:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711753200,2024-03-29 23:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711749600,2024-03-29 22:00:00,VEXT/USD,0.1242,0.1242,0.1242,0.1242,0.000,0.0
1711746000,2024-03-29 21:00:00,VEXT/USD,0.1246,0.1281,0.1241,0.1242,40414.722,5019.508472400001
1711742400,2024-03-29 20:00:00,VEXT/USD,0.1231,0.1231,0.1231,0.1231,0.000,0.0
1711738800,2024-03-29 19:00:00,VEXT/USD,0.1231,0.1231,0.1231,0.1231,0.000,0.0
1711735200,2024-03-29 18:00:00,VEXT/USD,0.1244,0.1244,0.1231,0.1231,6450.372,794.0407932
1711731600,2024-03-29 17:00:00,VEXT/USD,0.1254,0.1254,0.1248,0.1248,4612.852,575.6839295999999
1711728000,2024-03-29 16:00:00,VEXT/USD,0.1286,0.1292,0.1254,0.1254,38910.559,4879.3840986000005
1711724400,2024-03-29 15:00:00,VEXT/USD,0.1278,0.1278,0.1273,0.1274,3011.077,383.6112098000001
1711720800,2024-03-29 14:00:00,VEXT/USD,0.1278,0.1278,0.1278,0.1278,0.000,0.0
1711717200,2024-03-29 13:00:00,VEXT/USD,0.1159,0.1289,0.1150,0.1278,39146.229,5002.8880662
1711713600,2024-03-29 12:00:00,VEXT/USD,0.1151,0.1160,0.1151,0.1159,5363.998,621.6873681999999
