unix,date,symbol,open,high,low,close,Volume PYUSD,Volume USD
1733662800,2024-12-08 13:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733659200,2024-12-08 12:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733655600,2024-12-08 11:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733652000,2024-12-08 10:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733648400,2024-12-08 09:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733644800,2024-12-08 08:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733641200,2024-12-08 07:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733637600,2024-12-08 06:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733634000,2024-12-08 05:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733630400,2024-12-08 04:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733626800,2024-12-08 03:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733623200,2024-12-08 02:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733619600,2024-12-08 01:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733616000,2024-12-08 00:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733612400,2024-12-07 23:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733608800,2024-12-07 22:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733605200,2024-12-07 21:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733601600,2024-12-07 20:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733598000,2024-12-07 19:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733594400,2024-12-07 18:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733590800,2024-12-07 17:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733587200,2024-12-07 16:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733583600,2024-12-07 15:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733580000,2024-12-07 14:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733576400,2024-12-07 13:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733572800,2024-12-07 12:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733569200,2024-12-07 11:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733565600,2024-12-07 10:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733562000,2024-12-07 09:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733558400,2024-12-07 08:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733554800,2024-12-07 07:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733551200,2024-12-07 06:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733547600,2024-12-07 05:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733544000,2024-12-07 04:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733540400,2024-12-07 03:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733536800,2024-12-07 02:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733533200,2024-12-07 01:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733529600,2024-12-07 00:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733526000,2024-12-06 23:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733522400,2024-12-06 22:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733518800,2024-12-06 21:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733515200,2024-12-06 20:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733511600,2024-12-06 19:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733508000,2024-12-06 18:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733504400,2024-12-06 17:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733500800,2024-12-06 16:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733497200,2024-12-06 15:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733493600,2024-12-06 14:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733490000,2024-12-06 13:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733486400,2024-12-06 12:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733482800,2024-12-06 11:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733479200,2024-12-06 10:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
1733475600,2024-12-06 09:00:00,PYUSD/USD,0.9982,0.9982,0.9982,0.9982,0.00,0.0
